name,lon,lat,geometry
"Pharmacie Moderne الصيدلية الحديثة, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5371963,32.2415859,POINT (-8.5371963 32.2415859)
"Pharmacie Dokkali صيدلية دكالي, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5291738,32.2566127,POINT (-8.5291738 32.2566127)
"Pharmacie Ibn Sina صيدلية ابن سينا, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5422871,32.239898,POINT (-8.5422871 32.239898)
"Pharmacie Kachkat صيدلية كاشكاط, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46302, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5332465,32.2458067,POINT (-8.5332465 32.2458067)
"Pharmacie Al Qods صيدلية القدس, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5358955,32.2538836,POINT (-8.5358955 32.2538836)
"Pharmacie Annour صيدلية النور, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5326451,32.237092,POINT (-8.5326451 32.237092)
"Pharmacie Lahdir صيدلية لهضير, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.532388,32.2489358,POINT (-8.532388 32.2489358)
"Pharmacie Louis Gentil صيدلية لويس جونتي, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5283145,32.246148,POINT (-8.5283145 32.246148)
"Pharmacie Najmi صيدلية نجمي, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5342218,32.2515064,POINT (-8.5342218 32.2515064)
"Pharmacie Al Amal صيدلية الأمل, RN11, Youssoufia, Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية, Pachalik de Youssoufia باشوية اليوسفية, Province de Youssoufia إقليم اليوسفية, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, 46300, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب",-8.5328651,32.2353451,POINT (-8.5328651 32.2353451)
